City,Timezone
"Tyler, TX",CST
"Brunswick, GA",EST
"Grand Island, NE",CST
"Minot, ND",CST
"Rapid City, SD",MST
"Williston, ND",CST
"Walla Walla, WA",PST
"Twin Falls, ID",MST
"Bismarck/Mandan, ND",CST
"Pocatello, ID",MST
"Grand Junction, CO",MST
"Arcata/Eureka, CA",PST
"Helena, MT",MST
"Lewiston, ID",PST
"Midland/Odessa, TX",CST
"Long Beach, CA",PST
"Joplin, MO",CST
"Wichita Falls, TX",CST
"Aberdeen, SD",CST
"Bemidji, MN",CST
"Akron, OH",EST
"Saginaw/Bay City/Midland, MI",EST
"Rhinelander, WI",CST
"Salina, KS",CST
"Dodge City, KS",CST
"Durango, CO",MST
"Santa Fe, NM",MST
"Sault Ste. Marie, MI",EST
"Hibbing, MN",CST
"Brainerd, MN",CST
"Hancock/Houghton, MI",EST
"Garden City, KS",CST
"Butte, MT",MST
"Columbus, GA",EST
"Escanaba, MI",EST
"Roswell, NM",MST
"Texarkana, AR",CST
"St. George, UT",MST
"Flagstaff, AZ",MST
"Fort Smith, AR",CST
"Cedar City, UT",MST
"Waco, TX",CST
"North Bend/Coos Bay, OR",PST
"College Station/Bryan, TX",CST
"Corpus Christi, TX",CST
"Moab, UT",MST
"Sioux City, IA",CST
"Bellingham, WA",PST
"Elmira/Corning, NY",EST
"Fort Dodge, IA",CST
"Devils Lake, ND",CST
"Hays, KS",CST
"Johnstown, PA",EST
"Lincoln, NE",CST
"Bishop, CA",PST
"Decatur, IL",CST
"Victoria, TX",CST
"Alpena, MI",EST
"Pellston, MI",EST
"San Angelo, TX",CST
"Meridian, MS",CST
"Hattiesburg/Laurel, MS",CST
"Laramie, WY",MST
"Scottsbluff, NE",MST
"Vernal, UT",MST
"Harlingen/San Benito, TX",CST
"Rock Springs, WY",MST
"Jamestown, ND",CST
"Riverton/Lander, WY",MST
"Sheridan, WY",MST
"Dickinson, ND",MST
"Cheyenne, WY",MST
"Prescott, AZ",MST
"Liberal, KS",MST
"Mason City, IA",CST
"Gillette, WY",MST
"North Platte, NE",MST
"Guam, TT",ChST
"Saipan, TT",ChST
"Hobbs, NM",MST
"Presque Isle/Houlton, ME",EST
"Cody, WY",MST
"Brownsville, TX",CST
"Islip, NY",EST
"Hilo, HI",HST
"Melbourne, FL",EST
"Trenton, NJ",EST
"Provo, UT",MST
"Rockford, IL",CST
"Sanford, FL",EST
"Stockton, CA",PST
"Punta Gorda, FL",EST
"St. Petersburg, FL",EST
"Toledo, OH",EST
"Belleville, IL",CST
"Newburgh/Poughkeepsie, NY",EST
"Hagerstown, MD",EST
"Concord, NC",EST
"Clarksburg/Fairmont, WV",EST
"Santa Maria, CA",PST
"Portsmouth, NH",EST
"Plattsburgh, NY",EST
"Niagara Falls, NY",EST
"St. Cloud, MN",CST
"Pago Pago, TT",SST
"Abilene, TX",CST
"Hilton Head, SC",EST
"Champaign/Urbana, IL",CST
"Atlantic City, NJ",EST
"Latrobe, PA",EST
"Mammoth Lakes, CA",PST
"Kearney, NE",CST
"Eau Claire, WI",CST
"Staunton, VA",EST
"Muskegon, MI",EST
"Pueblo, CO",MST
"Cape Girardeau, MO",CST
"Paducah, KY",CST
"Quincy, IL",CST
"Lewisburg, WV",EST
"Watertown, SD",CST
"Ogdensburg, NY",EST
"Pierre, SD",CST
"Ogden, UT",MST
"Owensboro, KY",CST
"Dubuque, IA",CST
"New Haven, CT",EST
"Del Rio, TX",CST
"Williamsport, PA",EST
"Hoolehua, HI",HST
"Lanai, HI",HST
"Kapalua, HI",HST
"CONCORD, NC",EST
"Branson, MO",CST
"Unalaska, AK",AKST
"Cold Bay, AK",AKST
"Nantucket, MA",EST
"Alamosa, CO",MST
"Bullhead City, AZ",MST
"Rota, TT",ChST
"Youngstown/Warren, OH",EST
